Timestamp,Loc uncertainty,Loc permanent failure,End1 ext block
2022-06-22 10:18:45.4,1.355,False,713
2022-06-22 10:18:45.6,1.387,False,713
2022-06-22 10:18:45.8,1.414,False,713
2022-06-22 10:18:46.0,1.418,False,713
2022-06-22 10:19:07.4,1.420,False,713
2022-06-22 10:19:07.6,1.422,False,713
2022-06-22 10:19:07.8,1.424,False,713
2022-06-22 10:19:08.0,1.425,False,713
2022-06-22 10:19:08.2,1.428,False,713
2022-06-22 10:19:08.4,1.430,False,713
2022-06-22 10:19:08.6,1.433,False,713
2022-06-22 10:19:08.8,1.435,False,713
2022-06-22 10:19:09.0,1.438,False,713
2022-06-22 10:19:09.2,1.439,False,713
2022-06-22 10:19:09.4,1.442,False,713
2022-06-22 10:19:09.6,1.444,False,713
2022-06-22 10:19:09.8,1.447,False,713
2022-06-22 10:19:10.0,1.450,False,713
2022-06-22 10:19:10.2,1.452,False,713
2022-06-22 10:19:10.4,1.455,False,713
2022-06-22 10:19:10.6,1.459,False,713
2022-06-22 10:19:10.8,1.463,False,713
2022-06-22 10:19:11.0,1.468,False,713
2022-06-22 10:19:11.2,1.473,False,713
2022-06-22 10:19:11.4,1.477,False,713
2022-06-22 10:19:11.6,1.481,False,713
2022-06-22 10:19:11.8,1.487,False,713
2022-06-22 10:19:12.0,1.492,False,713
2022-06-22 10:19:12.2,1.498,False,713
2022-06-22 10:19:12.4,1.503,False,713
2022-06-22 10:19:12.6,1.508,False,713
2022-06-22 10:19:12.8,1.514,False,713
2022-06-22 10:19:13.0,1.519,False,713
2022-06-22 10:19:13.2,1.524,False,713
2022-06-22 10:19:13.4,1.529,False,713
2022-06-22 10:19:13.6,1.535,False,713
2022-06-22 10:19:13.8,1.541,False,713
2022-06-22 10:19:14.0,1.547,False,713
2022-06-22 10:19:14.2,1.553,False,713
2022-06-22 10:19:14.4,1.558,False,713
2022-06-22 10:19:14.6,1.563,False,713
2022-06-22 10:19:14.8,1.570,False,713
2022-06-22 10:19:15.0,1.576,False,713
2022-06-22 10:19:15.2,1.583,False,713
2022-06-22 10:19:15.4,1.589,False,713
2022-06-22 10:19:15.6,1.596,False,713
2022-06-22 10:19:15.8,1.603,False,713
2022-06-22 10:19:16.0,1.608,False,713
2022-06-22 10:19:16.2,1.615,False,713
2022-06-22 10:19:16.4,1.623,False,713
2022-06-22 10:19:16.6,1.630,False,713
2022-06-22 10:19:16.8,1.638,False,713
2022-06-22 10:19:17.0,1.645,False,713
2022-06-22 10:19:17.2,1.653,False,713
2022-06-22 10:19:17.4,1.661,False,713
2022-06-22 10:19:17.6,1.669,False,713
2022-06-22 10:19:17.8,1.677,False,713
2022-06-22 10:19:18.0,1.686,False,713
2022-06-22 10:19:18.2,1.694,False,713
2022-06-22 10:19:18.4,1.703,False,713
2022-06-22 10:19:18.6,1.712,False,713
2022-06-22 10:19:18.8,1.721,False,713
2022-06-22 10:19:19.0,1.729,False,713
2022-06-22 10:19:19.2,1.739,False,713
2022-06-22 10:19:19.4,1.749,False,713
2022-06-22 10:19:19.6,1.759,False,713
2022-06-22 10:19:19.8,1.769,False,713
2022-06-22 10:19:20.0,1.778,False,713
2022-06-22 10:19:20.2,1.788,False,713
2022-06-22 10:19:20.4,1.799,False,713
2022-06-22 10:19:20.6,1.810,False,713
2022-06-22 10:19:20.8,1.820,False,713
2022-06-22 10:19:21.0,1.831,False,713
2022-06-22 10:19:21.2,1.842,False,713
2022-06-22 10:19:21.4,1.852,False,713
2022-06-22 10:19:21.6,1.862,False,713
2022-06-22 10:19:21.8,1.873,False,713
2022-06-22 10:19:22.0,1.884,False,713
2022-06-22 10:19:22.2,1.895,False,713
2022-06-22 10:19:22.4,1.905,False,713
2022-06-22 10:19:22.6,1.916,False,713
2022-06-22 10:19:22.8,1.927,False,713
2022-06-22 10:19:23.0,1.938,False,713
2022-06-22 10:19:23.2,1.948,False,713
2022-06-22 10:19:23.4,1.959,False,713
2022-06-22 10:19:23.6,1.970,False,713
2022-06-22 10:19:23.8,1.979,False,713
2022-06-22 10:19:24.0,1.990,False,713
2022-06-22 10:19:24.2,2.001,False,713
2022-06-22 10:19:24.4,2.012,False,713
2022-06-22 10:19:24.6,2.022,False,713
2022-06-22 10:19:24.8,2.032,False,713
2022-06-22 10:19:25.0,2.043,False,713
2022-06-22 10:19:25.2,2.054,False,713
2022-06-22 10:19:25.4,2.064,False,713
2022-06-22 10:19:25.6,2.074,False,713
2022-06-22 10:19:25.8,2.085,False,713
2022-06-22 10:19:26.0,2.095,False,713
2022-06-22 10:19:26.2,2.105,False,713
2022-06-22 10:19:26.4,2.116,False,713
2022-06-22 10:19:26.6,2.126,False,713
2022-06-22 10:19:26.8,2.136,False,713
2022-06-22 10:19:27.0,2.146,False,713
2022-06-22 10:19:27.2,2.156,False,713
2022-06-22 10:19:27.4,2.166,False,713
2022-06-22 10:19:27.6,2.176,False,713
2022-06-22 10:19:27.8,2.186,False,713
2022-06-22 10:19:28.0,2.195,False,713
2022-06-22 10:19:28.2,2.206,False,713
2022-06-22 10:19:28.4,2.215,False,713
2022-06-22 10:19:28.6,2.226,False,713
2022-06-22 10:19:28.8,2.235,False,712
2022-06-22 10:19:29.0,2.245,False,712
2022-06-22 10:19:29.2,2.256,False,712
2022-06-22 10:19:29.4,2.266,False,712
2022-06-22 10:19:29.6,2.275,False,712
2022-06-22 10:19:29.8,2.285,False,712
2022-06-22 10:19:30.0,2.295,False,712
2022-06-22 10:19:30.2,2.305,False,712
2022-06-22 10:19:30.4,2.314,False,712
2022-06-22 10:19:30.6,2.324,False,712
2022-06-22 10:19:30.8,2.334,False,712
2022-06-22 10:19:31.0,2.344,False,712
2022-06-22 10:19:31.2,2.354,False,712
2022-06-22 10:19:31.4,2.363,False,712
2022-06-22 10:19:31.6,2.373,False,712
2022-06-22 10:19:31.8,2.383,False,712
2022-06-22 10:19:32.0,2.393,False,712
2022-06-22 10:19:32.2,2.402,False,712
2022-06-22 10:19:32.4,2.412,False,712
2022-06-22 10:19:32.6,2.422,False,712
2022-06-22 10:19:32.8,2.432,False,712
2022-06-22 10:19:33.0,2.441,False,712
2022-06-22 10:19:33.2,2.451,False,712
2022-06-22 10:19:33.4,2.461,False,712
2022-06-22 10:19:33.6,2.470,False,712
2022-06-22 10:19:33.8,2.479,False,712
2022-06-22 10:19:34.0,2.489,False,712
2022-06-22 10:19:34.2,2.498,False,712
2022-06-22 10:19:34.4,2.508,False,712
2022-06-22 10:19:34.6,2.518,False,712
2022-06-22 10:19:34.8,2.526,False,712
2022-06-22 10:19:35.0,2.536,False,712
2022-06-22 10:19:35.2,2.546,False,712
2022-06-22 10:19:35.4,2.555,False,712
2022-06-22 10:19:35.6,2.563,False,712
2022-06-22 10:19:35.8,2.572,False,712
2022-06-22 10:19:36.0,2.582,False,712
2022-06-22 10:19:36.2,2.591,False,712
2022-06-22 10:19:36.4,2.601,False,712
2022-06-22 10:19:36.6,2.609,False,712
2022-06-22 10:19:36.8,2.618,False,712
2022-06-22 10:19:37.0,2.627,False,712
2022-06-22 10:19:37.2,2.636,False,712
2022-06-22 10:19:37.4,2.644,False,712
2022-06-22 10:19:37.6,2.652,False,712
2022-06-22 10:19:37.8,2.661,False,712
2022-06-22 10:19:38.0,2.670,False,712
2022-06-22 10:19:38.2,2.679,False,712
2022-06-22 10:19:38.4,2.688,False,712
2022-06-22 10:19:38.6,2.696,False,712
2022-06-22 10:19:38.8,2.705,False,712
2022-06-22 10:19:39.0,2.714,False,712
2022-06-22 10:19:39.2,2.724,False,712
2022-06-22 10:19:39.4,2.732,False,712
2022-06-22 10:19:39.6,2.741,False,712
2022-06-22 10:19:39.8,2.750,False,712
2022-06-22 10:19:40.0,2.759,False,712
2022-06-22 10:19:40.2,2.768,False,712
2022-06-22 10:19:40.4,2.776,False,712
2022-06-22 10:19:40.6,2.785,False,712
2022-06-22 10:19:40.8,2.794,False,712
2022-06-22 10:19:41.0,2.803,False,712
